-1.6,"['2014 Solomon Hill', '2014 James Johnson', '2015 Corey Brewer', '2015 Festus Ezeli', '2015 Devin Harris', '2015 Glen Davis', '2015 Patrick Beverley', '2015 Nick Young', '2015 Quincy Pondexter', '2016 Andrew Goudelock', '2016 Rodney Stuckey', '2016 Evan Turner', '2016 Brandan Wright', '2016 Gary Harris', '2016 Randy Foye', '2016 James Johnson', '2016 Leandro Barbosa', '2016 Devin Harris', '2017 Josh Richardson', '2017 Andrew Harrison', '2017 Lamar Patterson', '2017 Kenneth Faried', '2017 John Henson', '2017 Jodie Meeks', '2017 Andrew Wiggins', ""2017 Johnny O'Bryant III"", '2017 Bruno Caboclo', '2018 Raymond Felton', '2018 Kenneth Faried', '2018 Cameron Payne', '2018 Dante Exum', '2018 Lauri Markkanen', '2018 Brandon Ingram', '2018 Dwyane Wade', '2018 Luke Babbitt', '2018 Damian Jones', '2018 Jarrett Allen', '2018 Michael Kidd-Gilchrist', '2018 Isaiah Whitehead', '2018 Ike Anigbogu', '2018 Andrew Wiggins', '2018 Darrell Arthur', '2018 Marquese Chriss']"
-1.5,"['2014 Allen Crabbe', '2014 Toney Douglas', '2014 Rodney Stuckey', '2014 Leandro Barbosa', '2014 Gerald Green', '2015 Ognjen Kuzmic', '2015 Nerlens Noel', '2015 Xavier Henry', '2015 Jeff Withey', '2015 Clint Capela', '2015 Dwight Powell', '2015 Toney Douglas', '2016 Anderson Varejao', '2016 Jeff Green', '2016 Corey Brewer', '2016 Dahntay Jones', '2016 Kirk Hinrich', '2016 Jodie Meeks', '2017 Tyreke Evans', '2017 Shabazz Napier', '2017 Alexis Ajinca', '2017 Juan Hernangomez', '2017 Jamal Murray', '2017 Malik Beasley', '2018 Michael Beasley', '2018 Sam Dekker', '2018 Pat Connaughton', '2018 Caleb Swanigan', '2018 Kyle Kuzma', '2018 Iman Shumpert', '2018 Gordon Hayward']"
-1.4,"['2014 Kyrie Irving', '2014 Terrence Ross', '2014 Ronny Turiaf', '2014 Terrence Jones', '2014 Wayne Ellington', '2015 Evan Turner', '2015 Channing Frye', '2015 Brandon Bass', '2015 Marreese Speights', '2015 O.J. Mayo', '2015 Joey Dorsey', '2015 Eric Gordon', '2015 Paul George', '2016 Nick Collison', '2016 Michael Carter-Williams', '2016 Jeremy Evans', '2016 Frank Kaminsky', '2017 Sam Dekker', '2017 Robin Lopez', '2017 Chris McCullough', '2017 Al Jefferson', '2018 Luol Deng', '2018 Brice Johnson', '2018 Tony Bradley', '2018 Maurice Harkless', '2018 Tyler Ennis', '2018 Alex Abrines', '2018 Trevor Booker']"
-1.3,"['2014 Randy Foye', '2014 Jeremy Lamb', '2014 Cole Aldrich', '2014 Kelly Olynyk', '2015 Will Barton', '2015 Taj Gibson', '2015 Lucas Nogueira', '2015 Jerami Grant', '2015 Shabazz Napier', '2015 Luc Mbah a Moute', '2016 Brandon Jennings', '2016 Jarrett Jack', '2016 Harrison Barnes', '2016 Jordan Mickey', '2016 Sam Dekker', '2016 Delon Wright', '2017 Jakob Poeltl', '2017 Jeremy Lamb', '2017 Caris LeVert', '2017 Tiago Splitter', '2017 Devin Booker', '2017 Ben Bentil', '2018 Markieff Morris', '2018 Ryan Anderson', '2018 Thomas Bryant', '2018 Courtney Lee', '2018 Joel Bolomboy', '2018 Michael Carter-Williams', '2018 Georges Niang']"
-1.2,"['2014 Hasheem Thabeet', '2014 Ian Mahinmi', '2014 Andre Roberson', '2014 Trey Burke', '2015 Steven Adams', '2015 Ryan Hollins', '2015 Omer Asik', '2015 Mario Chalmers', '2015 Jordan Adams', '2016 Andrew Wiggins', '2016 Nerlens Noel', '2016 Marreese Speights', '2016 James Jones', '2016 Jason Smith', '2017 Willie Cauley-Stein', '2017 Marco Belinelli', '2017 Wilson Chandler', '2017 Brice Johnson', '2017 Norman Powell', '2017 Wesley Johnson', '2017 Dwight Powell', '2017 Taurean Prince', '2017 Meyers Leonard', '2017 Brandon Jennings', '2018 Chinanu Onuaku', '2018 Kyle Singler', '2018 Dillon Brooks', '2018 Kris Dunn', '2018 Guerschon Yabusele', '2018 Tyler Zeller', '2018 Alec Peters']"
-1.1,"['2014 Jeff Teague', '2014 Dante Cunningham', '2014 Lavoy Allen', '2014 Giannis Antetokounmpo', '2015 Ersan Ilyasova', '2015 Trevor Booker', '2015 Ed Davis', '2015 Aaron Brooks', '2015 Glenn Robinson III', '2015 Ronny Turiaf', '2015 Lester Hudson', '2016 Meyers Leonard', '2016 Robert Sacre', '2016 Marcus Thornton', '2016 Alexis Ajinca', '2016 Dwyane Wade', '2016 Donatas Motiejunas', '2017 Nick Collison', '2017 Terry Rozier', '2017 Evan Fournier', '2017 Iman Shumpert', '2017 Jordan Hill', '2017 Joakim Noah', '2017 Thon Maker', '2017 Anderson Varejao', '2017 Josh Huestis', '2017 Will Barton', '2018 Trey Burke', '2018 Cedi Osman', '2018 Alex Len', '2018 Wilson Chandler', ""2018 E'Twaun Moore"", '2018 Justin Patton', '2018 Glenn Robinson III', '2018 Patrick Beverley', '2018 Ante Zizic', '2018 Shane Larkin']"
-1.0,"['2014 Glen Davis', '2014 Nick Young', '2014 Kyle Singler', '2014 Beno Udrih', ""2015 Kyle O'Quinn"", '2015 Robert Sacre', '2015 Marcus Morris', '2015 Bismack Biyombo', '2015 Kemba Walker', '2016 Maurice Harkless', '2016 Evan Fournier', '2016 Tyler Hansbrough', '2016 Justin Anderson', '2017 Kevon Looney', '2017 Tomas Satoransky', '2017 Jonas Jerebko', '2017 Montrezl Harrell', '2017 Omer Asik', '2018 Darius Miller', '2018 Jeff Withey', '2018 Denzel Valentine', '2018 Rajon Rondo', '2018 Austin Rivers', '2018 Stanley Johnson', '2018 Bojan Bogdanovic', '2018 Kosta Koufos']"
-0.9,"['2014 Martell Webster', '2014 Rajon Rondo', '2014 CJ McCollum', '2014 Derrick Favors', '2015 Steve Blake', '2015 Tyrus Thomas', '2015 Al Jefferson', '2015 Evan Fournier', '2015 Courtney Lee', '2015 Ekpe Udoh', '2016 O.J. Mayo', '2016 Norman Powell', '2016 Josh Huestis', '2016 Montrezl Harrell', ""2016 E'Twaun Moore"", '2016 Mike Muscala', '2016 Justise Winslow', '2016 Elfrid Payton', '2017 Tony Snell', '2017 Dwyane Wade', '2017 Courtney Lee', '2017 Jeff Withey', '2017 Joel Bolomboy', '2017 Dante Cunningham', '2018 Josh McRoberts', '2018 Willie Cauley-Stein', '2018 Cole Aldrich', '2018 Devin Booker', '2018 Derrick Williams', '2018 Malcolm Brogdon']"
-0.8,"['2014 Quincy Pondexter', '2014 Luke Babbitt', '2014 Donatas Motiejunas', '2014 Kevin Martin', '2014 Jason Maxiell', '2014 Kentavious Caldwell-Pope', '2015 Jarnell Stokes', '2015 Ian Mahinmi', '2015 Wesley Johnson', '2015 Dante Cunningham', '2016 Rakeem Christmas', '2016 Tony Snell', '2016 Cory Joseph', '2016 Luc Mbah a Moute', '2017 Corey Brewer', '2017 Rodney Hood', '2017 Jabari Parker', '2017 Jon Leuer', '2018 Gerald Green', '2018 Joakim Noah', '2018 Cory Joseph', '2018 Nerlens Noel', '2018 Jarrett Jack', '2018 Carmelo Anthony', '2018 Jerami Grant', '2018 Wesley Johnson', '2018 Al Jefferson', '2018 Rondae Hollis-Jefferson', '2018 Shelvin Mack']"
-0.7,"['2015 Mo Williams', '2015 Alex Len', '2015 Jonas Valanciunas', '2015 Gorgui Dieng', '2016 Jeff Teague', '2016 Shelvin Mack', '2016 Tibor Pleiss', '2016 Darren Collison', '2017 Enes Kanter', '2017 Darrell Arthur', '2017 Derrick Favors', '2017 Ty Lawson', '2018 Mike Conley', '2018 Isaiah Canaan', '2018 Joe Harris', '2018 Emeka Okafor', '2018 Josh Hart', '2018 Jon Leuer', '2018 Bobby Portis', '2018 MarShon Brooks', '2018 Adreian Payne', '2018 Luke Kennard']"
